Year,Age,Sex,Country,Population
2050, 40-44,Total,England,4053182.0
2050, 45-49,Total,England,3687202.0
2050, 50-54,Total,England,3781078.0
2050, 55-59,Total,England,3811771.0
2050, 60-64,Total,England,3723857.0
2050, 65-69,Total,England,3515904.0
2050, 70-74,Total,England,3112326.0
2050, 75-79,Total,England,2942246.0
2050, 80-84,Total,England,2635204.0
2050, 85-89,Total,England,1872750.0
2050, 90-94,Total,England,889903.0
2050, 95-99,Total,England,267042.0
2050, 100 & over,Total,England,44227.0
2050,All ages,Total,England,62462658.0
2051,  0-4,Total,England,3139467.0
2051,  5-9,Total,England,3268020.0
2051, 10-14,Total,England,3231815.0
2051, 15-19,Total,England,3211293.0
2051, 20-24,Total,England,3421570.0
2051, 25-29,Total,England,3622750.0
2051, 30-34,Total,England,3942018.0
2051, 35-39,Total,England,4217266.0
2051, 40-44,Total,England,4115203.9999999995
2051, 45-49,Total,England,3738057.0
2051, 50-54,Total,England,3753807.0
2051, 55-59,Total,England,3783661.0
2051, 60-64,Total,England,3755136.0
2051, 65-69,Total,England,3529496.0
2051, 70-74,Total,England,3181641.0
2051, 75-79,Total,England,2868839.0
2051, 80-84,Total,England,2642588.0
2051, 85-89,Total,England,1914791.0
2051, 90-94,Total,England,929096.0
2051, 95-99,Total,England,276208.0
2051, 100 & over,Total,England,44495.0
2051,All ages,Total,England,62587218.0
2052,  0-4,Total,England,3120977.0
2052,  5-9,Total,England,3274656.0
2052, 10-14,Total,England,3260894.0
2052, 15-19,Total,England,3227429.0
2052, 20-24,Total,England,3421496.0
2052, 25-29,Total,England,3620453.0
2052, 30-34,Total,England,3856260.0
2052, 35-39,Total,England,4178099.0
2052, 40-44,Total,England,4180814.9999999995
2052, 45-49,Total,England,3816542.0
2052, 50-54,Total,England,3706576.0
2052, 55-59,Total,England,3774298.0
2052, 60-64,Total,England,3779840.0
2052, 65-69,Total,England,3541812.0
2052, 70-74,Total,England,3254953.0
2052, 75-79,Total,England,2805398.0
2052, 80-84,Total,England,2632943.0
2052, 85-89,Total,England,1945774.0
2052, 90-94,Total,England,970761.0
2052, 95-99,Total,England,288337.0
2052, 100 & over,Total,England,44953.0
2052,All ages,Total,England,62703266.0
2053,  0-4,Total,England,3100014.0
2053,  5-9,Total,England,3275160.0
2053, 10-14,Total,England,3287531.0
2053, 15-19,Total,England,3248471.0
2053, 20-24,Total,England,3423712.0
2053, 25-29,Total,England,3620496.0
2053, 30-34,Total,England,3781789.0
2053, 35-39,Total,England,4142264.0
