Year,Age,Sex,Country,Population
2031, 80-84,Total,Scotland,194201.0
2031, 85-89,Total,Scotland,102330.0
2031, 90-94,Total,Scotland,42602.0
2031, 95-99,Total,Scotland,11277.0
2031, 100 & over,Total,Scotland,1360.0
2031,All ages,Total,Scotland,5527133.0
2032,  0-4,Total,Scotland,226669.0
2032,  5-9,Total,Scotland,236793.0
2032, 10-14,Total,Scotland,257793.99999999997
2032, 15-19,Total,Scotland,300923.0
2032, 20-24,Total,Scotland,352055.0
2032, 25-29,Total,Scotland,338657.0
2032, 30-34,Total,Scotland,352114.0
2032, 35-39,Total,Scotland,378017.0
2032, 40-44,Total,Scotland,397746.0
2032, 45-49,Total,Scotland,363091.0
2032, 50-54,Total,Scotland,339588.0
2032, 55-59,Total,Scotland,317888.0
2032, 60-64,Total,Scotland,366713.0
2032, 65-69,Total,Scotland,371629.0
2032, 70-74,Total,Scotland,322503.0
2032, 75-79,Total,Scotland,248961.0
2032, 80-84,Total,Scotland,187799.0
2032, 85-89,Total,Scotland,113004.0
2032, 90-94,Total,Scotland,43292.0
2032, 95-99,Total,Scotland,11555.0
2032, 100 & over,Total,Scotland,1416.0
2032,All ages,Total,Scotland,5528207.0
2033,  0-4,Total,Scotland,225705.0
2033,  5-9,Total,Scotland,236449.0
2033, 10-14,Total,Scotland,250815.0
2033, 15-19,Total,Scotland,295797.0
2033, 20-24,Total,Scotland,351258.0
2033, 25-29,Total,Scotland,345639.0
2033, 30-34,Total,Scotland,346523.0
2033, 35-39,Total,Scotland,374237.0
2033, 40-44,Total,Scotland,398417.0
2033, 45-49,Total,Scotland,369353.0
2033, 50-54,Total,Scotland,348451.0
2033, 55-59,Total,Scotland,310809.0
2033, 60-64,Total,Scotland,356715.0
2033, 65-69,Total,Scotland,369941.0
2033, 70-74,Total,Scotland,329884.0
2033, 75-79,Total,Scotland,255355.0
2033, 80-84,Total,Scotland,186043.0
2033, 85-89,Total,Scotland,118970.0
2033, 90-94,Total,Scotland,44717.0
2033, 95-99,Total,Scotland,11924.0
2033, 100 & over,Total,Scotland,1445.0
2033,All ages,Total,Scotland,5528447.0
2034,  0-4,Total,Scotland,224819.0
2034,  5-9,Total,Scotland,235607.0
2034, 10-14,Total,Scotland,245710.0
2034, 15-19,Total,Scotland,290114.0
2034, 20-24,Total,Scotland,348838.0
2034, 25-29,Total,Scotland,351634.0
2034, 30-34,Total,Scotland,343254.0
