Year,Age,Sex,Country,Population
2028, 65-69,Total,Wales,208149.0
2028, 70-74,Total,Wales,173133.0
2028, 75-79,Total,Wales,150755.0
2028, 80-84,Total,Wales,122703.0
2028, 85-89,Total,Wales,63912.0
2028, 90-94,Total,Wales,27784.0
2028, 95-99,Total,Wales,7223.0
2028, 100 & over,Total,Wales,904.0
2028,All ages,Total,Wales,3255889.0
2029,  0-4,Total,Wales,146721.0
2029,  5-9,Total,Wales,151543.0
2029, 10-14,Total,Wales,176821.0
2029, 15-19,Total,Wales,195466.0
2029, 20-24,Total,Wales,209726.0
2029, 25-29,Total,Wales,196774.0
2029, 30-34,Total,Wales,207330.0
2029, 35-39,Total,Wales,216715.0
2029, 40-44,Total,Wales,200353.0
2029, 45-49,Total,Wales,190318.0
2029, 50-54,Total,Wales,174655.0
2029, 55-59,Total,Wales,204856.0
2029, 60-64,Total,Wales,224133.0
2029, 65-69,Total,Wales,213367.0
2029, 70-74,Total,Wales,176220.0
2029, 75-79,Total,Wales,149395.0
2029, 80-84,Total,Wales,125629.0
2029, 85-89,Total,Wales,66896.0
2029, 90-94,Total,Wales,28485.0
2029, 95-99,Total,Wales,7416.0
2029, 100 & over,Total,Wales,924.0
2029,All ages,Total,Wales,3263743.0
2030,  0-4,Total,Wales,146661.0
2030,  5-9,Total,Wales,150700.0
2030, 10-14,Total,Wales,172659.0
2030, 15-19,Total,Wales,193926.0
2030, 20-24,Total,Wales,213375.0
2030, 25-29,Total,Wales,194819.0
2030, 30-34,Total,Wales,208634.0
2030, 35-39,Total,Wales,215654.0
2030, 40-44,Total,Wales,204080.0
2030, 45-49,Total,Wales,191365.0
2030, 50-54,Total,Wales,178132.0
2030, 55-59,Total,Wales,198332.0
2030, 60-64,Total,Wales,220901.0
2030, 65-69,Total,Wales,218262.0
2030, 70-74,Total,Wales,180769.0
2030, 75-79,Total,Wales,148101.0
2030, 80-84,Total,Wales,127579.0
2030, 85-89,Total,Wales,69571.0
2030, 90-94,Total,Wales,29018.0
2030, 95-99,Total,Wales,7618.0
2030, 100 & over,Total,Wales,954.0
2030,All ages,Total,Wales,3271110.0
2031,  0-4,Total,Wales,146589.0
2031,  5-9,Total,Wales,151694.0
2031, 10-14,Total,Wales,166541.0
2031, 15-19,Total,Wales,191649.0
2031, 20-24,Total,Wales,216539.0
2031, 25-29,Total,Wales,194609.0
2031, 30-34,Total,Wales,208740.0
2031, 35-39,Total,Wales,213583.0
2031, 40-44,Total,Wales,209609.0
2031, 45-49,Total,Wales,192110.0
2031, 50-54,Total,Wales,183126.0
2031, 55-59,Total,Wales,189189.0
2031, 60-64,Total,Wales,220281.0
2031, 65-69,Total,Wales,220535.0
2031, 70-74,Total,Wales,185848.0
2031, 75-79,Total,Wales,148581.0
2031, 80-84,Total,Wales,128475.0
2031, 85-89,Total,Wales,72092.0
2031, 90-94,Total,Wales,29374.0
2031, 95-99,Total,Wales,7869.0
2031, 100 & over,Total,Wales,988.0
2031,All ages,Total,Wales,3278021.0
2032,  0-4,Total,Wales,146515.0
2032,  5-9,Total,Wales,152175.0
2032, 10-14,Total,Wales,161934.0
2032, 15-19,Total,Wales,188870.0
2032, 20-24,Total,Wales,218651.0
2032, 25-29,Total,Wales,197826.0
2032, 30-34,Total,Wales,205217.0
2032, 35-39,Total,Wales,212439.0
2032, 40-44,Total,Wales,214539.0
2032, 45-49,Total,Wales,194549.0
2032, 50-54,Total,Wales,187013.0
2032, 55-59,Total,Wales,181872.0
2032, 60-64,Total,Wales,217606.0
2032, 65-69,Total,Wales,221416.0
2032, 70-74,Total,Wales,191044.0
2032, 75-79,Total,Wales,150689.0
2032, 80-84,Total,Wales,123620.0
2032, 85-89,Total,Wales,78984.0
2032, 90-94,Total,Wales,30370.0
2032, 95-99,Total,Wales,8108.000000000001
2032, 100 & over,Total,Wales,1020.9999999999999
2032,All ages,Total,Wales,3284458.0
2033,  0-4,Total,Wales,146439.0
2033,  5-9,Total,Wales,152590.0
2033, 10-14,Total,Wales,157953.0
2033, 15-19,Total,Wales,186579.0
2033, 20-24,Total,Wales,218069.0
2033, 25-29,Total,Wales,202707.0
2033, 30-34,Total,Wales,201450.0
2033, 35-39,Total,Wales,212026.0
2033, 40-44,Total,Wales,217315.0
2033, 45-49,Total,Wales,197851.0
2033, 50-54,Total,Wales,191574.0
2033, 55-59,Total,Wales,177111.0
2033, 60-64,Total,Wales,213303.0
2033, 65-69,Total,Wales,221006.0
2033, 70-74,Total,Wales,195377.0
2033, 75-79,Total,Wales,153252.0
2033, 80-84,Total,Wales,121266.0
2033, 85-89,Total,Wales,83191.0
2033, 90-94,Total,Wales,31806.0
2033, 95-99,Total,Wales,8396.0
2033, 100 & over,Total,Wales,1059.0
2033,All ages,Total,Wales,3290320.0
2034,  0-4,Total,Wales,146358.0
2034,  5-9,Total,Wales,152703.0
2034, 10-14,Total,Wales,155742.0
2034, 15-19,Total,Wales,183428.0
2034, 20-24,Total,Wales,217339.0
2034, 25-29,Total,Wales,206431.0
2034, 30-34,Total,Wales,198333.0
2034, 35-39,Total,Wales,211043.0
2034, 40-44,Total,Wales,219421.0
2034, 45-49,Total,Wales,202713.0
2034, 50-54,Total,Wales,193101.0
2034, 55-59,Total,Wales,177278.0
2034, 60-64,Total,Wales,206206.0
2034, 65-69,Total,Wales,219914.0
2034, 70-74,Total,Wales,200424.0
2034, 75-79,Total,Wales,156208.0
2034, 80-84,Total,Wales,120485.0
2034, 85-89,Total,Wales,85276.0
2034, 90-94,Total,Wales,33524.0
2034, 95-99,Total,Wales,8653.0
2034, 100 & over,Total,Wales,1095.0
2034,All ages,Total,Wales,3295675.0
2035,  0-4,Total,Wales,146301.0
2035,  5-9,Total,Wales,152649.0
2035, 10-14,Total,Wales,154890.0
2035, 15-19,Total,Wales,179229.0
2035, 20-24,Total,Wales,215649.0
2035, 25-29,Total,Wales,209898.0
2035, 30-34,Total,Wales,196372.0
2035, 35-39,Total,Wales,212356.0
2035, 40-44,Total,Wales,218383.0
2035, 45-49,Total,Wales,206486.0
2035, 50-54,Total,Wales,194193.0
2035, 55-59,Total,Wales,180779.0
2035, 60-64,Total,Wales,199702.0
2035, 65-69,Total,Wales,216885.0
2035, 70-74,Total,Wales,205157.0
2035, 75-79,Total,Wales,160418.0
