Year,Age,Sex,Country,Population
2030, 40-44,Total,United Kingdom,4547934.0
2030, 45-49,Total,United Kingdom,4411045.0
2030, 50-54,Total,United Kingdom,4094969.0
2030, 55-59,Total,United Kingdom,4258067.0
2030, 60-64,Total,United Kingdom,4470864.0
2030, 65-69,Total,United Kingdom,4241173.0
2030, 70-74,Total,United Kingdom,3470606.0
2030, 75-79,Total,United Kingdom,2796414.0
2030, 80-84,Total,United Kingdom,2430560.0
2030, 85-89,Total,United Kingdom,1336138.0
2030, 90-94,Total,United Kingdom,583740.0
2030, 95-99,Total,United Kingdom,156694.0
2030, 100 & over,Total,United Kingdom,20380.0
2030,All ages,Total,United Kingdom,69874171.0
2031,  0-4,Total,United Kingdom,3373607.0
2031,  5-9,Total,United Kingdom,3511419.0
2031, 10-14,Total,United Kingdom,3907345.0
2031, 15-19,Total,United Kingdom,4354947.0
2031, 20-24,Total,United Kingdom,4548874.0
2031, 25-29,Total,United Kingdom,4300028.0
2031, 30-34,Total,United Kingdom,4425499.0
2031, 35-39,Total,United Kingdom,4540720.0
2031, 40-44,Total,United Kingdom,4592539.0
2031, 45-49,Total,United Kingdom,4426045.0
2031, 50-54,Total,United Kingdom,4183015.9999999995
2031, 55-59,Total,United Kingdom,4132591.0000000005
2031, 60-64,Total,United Kingdom,4459485.0
2031, 65-69,Total,United Kingdom,4304458.0
2031, 70-74,Total,United Kingdom,3574116.0
2031, 75-79,Total,United Kingdom,2827248.0
2031, 80-84,Total,United Kingdom,2442100.0
2031, 85-89,Total,United Kingdom,1402423.0
2031, 90-94,Total,United Kingdom,583294.0
2031, 95-99,Total,United Kingdom,162004.0
2031, 100 & over,Total,United Kingdom,21102.0
2031,All ages,Total,United Kingdom,70072860.0
2032,  0-4,Total,United Kingdom,3371545.0
2032,  5-9,Total,United Kingdom,3508116.0
2032, 10-14,Total,United Kingdom,3804365.0
2032, 15-19,Total,United Kingdom,4305258.0
2032, 20-24,Total,United Kingdom,4621625.0
2032, 25-29,Total,United Kingdom,4390319.0
2032, 30-34,Total,United Kingdom,4362738.0
2032, 35-39,Total,United Kingdom,4519289.0
2032, 40-44,Total,United Kingdom,4629157.0
2032, 45-49,Total,United Kingdom,4442332.0
2032, 50-54,Total,United Kingdom,4278937.0
2032, 55-59,Total,United Kingdom,4021531.0
2032, 60-64,Total,United Kingdom,4419596.0
2032, 65-69,Total,United Kingdom,4342437.0
2032, 70-74,Total,United Kingdom,3680987.0
2032, 75-79,Total,United Kingdom,2884825.0
2032, 80-84,Total,United Kingdom,2345980.0
2032, 85-89,Total,United Kingdom,1548186.0
2032, 90-94,Total,United Kingdom,596394.0
2032, 95-99,Total,United Kingdom,167982.0
2032, 100 & over,Total,United Kingdom,21748.0
2032,All ages,Total,United Kingdom,70263347.0
2033,  0-4,Total,United Kingdom,3372014.0
2033,  5-9,Total,United Kingdom,3507175.0
2033, 10-14,Total,United Kingdom,3714736.0
2033, 15-19,Total,United Kingdom,4259744.0
2033, 20-24,Total,United Kingdom,4643766.0
2033, 25-29,Total,United Kingdom,4499447.0
2033, 30-34,Total,United Kingdom,4323876.0
2033, 35-39,Total,United Kingdom,4507507.0
2033, 40-44,Total,United Kingdom,4618589.0
2033, 45-49,Total,United Kingdom,4481475.0
2033, 50-54,Total,United Kingdom,4363652.0
2033, 55-59,Total,United Kingdom,3959078.0
2033, 60-64,Total,United Kingdom,4356010.0
2033, 65-69,Total,United Kingdom,4351658.0
2033, 70-74,Total,United Kingdom,3781522.0
2033, 75-79,Total,United Kingdom,2951469.0
2033, 80-84,Total,United Kingdom,2305973.0
2033, 85-89,Total,United Kingdom,1627393.0
2033, 90-94,Total,United Kingdom,624252.0
2033, 95-99,Total,United Kingdom,174546.0
2033, 100 & over,Total,United Kingdom,22237.0
2033,All ages,Total,United Kingdom,70446119.0
2034,  0-4,Total,United Kingdom,3375172.0
2034,  5-9,Total,United Kingdom,3501958.0
2034, 10-14,Total,United Kingdom,3649888.0
2034, 15-19,Total,United Kingdom,4206867.0
2034, 20-24,Total,United Kingdom,4655162.0
2034, 25-29,Total,United Kingdom,4586265.0
2034, 30-34,Total,United Kingdom,4305135.0
2034, 35-39,Total,United Kingdom,4492072.0
2034, 40-44,Total,United Kingdom,4616015.0
2034, 45-49,Total,United Kingdom,4520543.0
2034, 50-54,Total,United Kingdom,4387896.0
2034, 55-59,Total,United Kingdom,3986096.0
2034, 60-64,Total,United Kingdom,4259195.0
2034, 65-69,Total,United Kingdom,4343520.0
2034, 70-74,Total,United Kingdom,3885718.0
2034, 75-79,Total,United Kingdom,3024586.0
2034, 80-84,Total,United Kingdom,2297798.0
2034, 85-89,Total,United Kingdom,1664546.0
2034, 90-94,Total,United Kingdom,660232.0
2034, 95-99,Total,United Kingdom,180377.0
2034, 100 & over,Total,United Kingdom,22845.0
2034,All ages,Total,United Kingdom,70621886.0
2035,  0-4,Total,United Kingdom,3381474.0
2035,  5-9,Total,United Kingdom,3495517.0
2035, 10-14,Total,United Kingdom,3608175.0
2035, 15-19,Total,United Kingdom,4133639.0
2035, 20-24,Total,United Kingdom,4652531.0
2035, 25-29,Total,United Kingdom,4671726.0
2035, 30-34,Total,United Kingdom,4316321.0
2035, 35-39,Total,United Kingdom,4478974.0
2035, 40-44,Total,United Kingdom,4584192.0
2035, 45-49,Total,United Kingdom,4547987.0
2035, 50-54,Total,United Kingdom,4400057.0
2035, 55-59,Total,United Kingdom,4060221.0
2035, 60-64,Total,United Kingdom,4170853.0
2035, 65-69,Total,United Kingdom,4307407.0
2035, 70-74,Total,United Kingdom,3982912.0
2035, 75-79,Total,United Kingdom,3112669.0
2035, 80-84,Total,United Kingdom,2300184.0
2035, 85-89,Total,United Kingdom,1687552.0
2035, 90-94,Total,United Kingdom,691507.0
2035, 95-99,Total,United Kingdom,184102.0
2035, 100 & over,Total,United Kingdom,23832.0
2035,All ages,Total,United Kingdom,70791832.0
2036,  0-4,Total,United Kingdom,3392211.0
2036,  5-9,Total,United Kingdom,3491043.0
2036, 10-14,Total,United Kingdom,3595947.0
2036, 15-19,Total,United Kingdom,4023157.0
2036, 20-24,Total,United Kingdom,4637071.0
2036, 25-29,Total,United Kingdom,4745747.0
2036, 30-34,Total,United Kingdom,4369794.0
2036, 35-39,Total,United Kingdom,4444288.0
2036, 40-44,Total,United Kingdom,4541884.0
2036, 45-49,Total,United Kingdom,4592462.0
2036, 50-54,Total,United Kingdom,4415334.0
2036, 55-59,Total,United Kingdom,4147611.0
2036, 60-64,Total,United Kingdom,4049984.0
2036, 65-69,Total,United Kingdom,4298543.0
2036, 70-74,Total,United Kingdom,4044588.0
2036, 75-79,Total,United Kingdom,3208979.0
2036, 80-84,Total,United Kingdom,2330253.0
2036, 85-89,Total,United Kingdom,1693669.0
2036, 90-94,Total,United Kingdom,726722.0
2036, 95-99,Total,United Kingdom,184118.0
2036, 100 & over,Total,United Kingdom,24872.0
2036,All ages,Total,United Kingdom,70958277.0
2037,  0-4,Total,United Kingdom,3408552.0
2037,  5-9,Total,United Kingdom,3489008.0
2037, 10-14,Total,United Kingdom,3592652.0
2037, 15-19,Total,United Kingdom,3920257.0
2037, 20-24,Total,United Kingdom,4587522.0
2037, 25-29,Total,United Kingdom,4818507.0
2037, 30-34,Total,United Kingdom,4460016.0
2037, 35-39,Total,United Kingdom,4381893.0
2037, 40-44,Total,United Kingdom,4520812.0
2037, 45-49,Total,United Kingdom,4628972.0
2037, 50-54,Total,United Kingdom,4431878.0
2037, 55-59,Total,United Kingdom,4242582.0
2037, 60-64,Total,United Kingdom,3943154.0
2037, 65-69,Total,United Kingdom,4262212.0
2037, 70-74,Total,United Kingdom,4082707.0
2037, 75-79,Total,United Kingdom,3308724.0
